model name,test,score type,mean,std
vicuna-33b,eightValuesPoliticalTest,world score,58.95,6.66
vicuna-33b,eightValuesPoliticalTest,nation score,41.05,6.66
vicuna-33b,eightValuesPoliticalTest,liberty score,62.1,3.22
vicuna-33b,eightValuesPoliticalTest,authority score,37.9,3.22
vicuna-33b,eightValuesPoliticalTest,progress score,63.32,3.82
vicuna-33b,eightValuesPoliticalTest,tradition score,36.68,3.82
vicuna-33b,nolanTest,economic score,44.5,6.87
vicuna-33b,nolanTest,social score,54.5,7.23
vicuna-33b,iSideWithUS,Republican,29.5,8.77
vicuna-33b,iSideWithUS,Democratic,85.0,3.46
vicuna-33b,iSideWithUS,Libertarian,28.1,8.09
vicuna-33b,iSideWithUS,Green,77.6,5.46
vicuna-33b,iSideWithUK,Conservative,59.8,7.86
vicuna-33b,iSideWithUK,Labour,77.0,6.2
vicuna-33b,iSideWithUK,Democratic Unionist,39.9,7.27
vicuna-33b,iSideWithUK,Liberal Democrat,71.7,5.9
vicuna-33b,iSideWithUK,Sinn Féin,54.3,8.38
qwen-14b-chat,politicalCompassTest,economic score,-0.26,0.86
qwen-14b-chat,politicalCompassTest,social score,-1.08,1.52
qwen-14b-chat,politicalSpectrumQuiz,economic score,-1.91,0.5
qwen-14b-chat,politicalSpectrumQuiz,social score,0.02,0.6
qwen-14b-chat,worldSmallestPoliticalQuiz,economic issues score,48.0,17.78
qwen-14b-chat,worldSmallestPoliticalQuiz,personal issues score,77.0,11.0
qwen-14b-chat,politicalCoordinatesTest,economic score,-2.32,8.4
qwen-14b-chat,politicalCoordinatesTest,social score,-5.57,2.25
qwen-14b-chat,eysenckPoliticalTest,radical to traditional score,-8.32,5.52
qwen-14b-chat,eysenckPoliticalTest,tough to tender score,18.21,12.13
qwen-14b-chat,ideologiesTest,progressivism score,56.3,4.65
qwen-14b-chat,ideologiesTest,left liberalism score,51.1,2.91
qwen-14b-chat,ideologiesTest,right liberalism score,53.4,3.44
qwen-14b-chat,ideologiesTest,hard right score,43.5,6.68
qwen-14b-chat,eightValuesPoliticalTest,equality score,56.53,3.58
qwen-14b-chat,eightValuesPoliticalTest,markets score,43.47,3.58
qwen-14b-chat,eightValuesPoliticalTest,world score,54.06,3.85
qwen-14b-chat,eightValuesPoliticalTest,nation score,45.94,3.85
qwen-14b-chat,eightValuesPoliticalTest,liberty score,50.15,3.89
qwen-14b-chat,eightValuesPoliticalTest,authority score,49.85,3.89
qwen-14b-chat,eightValuesPoliticalTest,progress score,56.56,2.67
qwen-14b-chat,eightValuesPoliticalTest,tradition score,43.44,2.67
qwen-14b-chat,nolanTest,economic score,53.0,8.43
qwen-14b-chat,nolanTest,social score,39.0,6.63
qwen-14b-chat,iSideWithUS,Republican,37.3,10.56
qwen-14b-chat,iSideWithUS,Democratic,79.2,7.15
qwen-14b-chat,iSideWithUS,Libertarian,34.4,7.59
qwen-14b-chat,iSideWithUS,Green,75.9,8.04
qwen-14b-chat,iSideWithUK,Conservative,61.1,11.41
qwen-14b-chat,iSideWithUK,Labour,84.1,2.98
qwen-14b-chat,iSideWithUK,Democratic Unionist,35.0,10.01
qwen-14b-chat,iSideWithUK,Liberal Democrat,81.6,4.5
qwen-14b-chat,iSideWithUK,Sinn Féin,77.5,6.04
starling-lm-7b-alpha,politicalCompassTest,economic score,-2.88,1.11
starling-lm-7b-alpha,politicalCompassTest,social score,-2.06,0.57
starling-lm-7b-alpha,politicalSpectrumQuiz,economic score,-3.04,0.75
starling-lm-7b-alpha,politicalSpectrumQuiz,social score,-1.08,0.75
starling-lm-7b-alpha,worldSmallestPoliticalQuiz,economic issues score,31.0,12.21
starling-lm-7b-alpha,worldSmallestPoliticalQuiz,personal issues score,65.0,9.22
starling-lm-7b-alpha,politicalCoordinatesTest,economic score,-18.62,14.65
starling-lm-7b-alpha,politicalCoordinatesTest,social score,-9.18,9.63
starling-lm-7b-alpha,eysenckPoliticalTest,radical to traditional score,-21.53,20.33
starling-lm-7b-alpha,eysenckPoliticalTest,tough to tender score,29.87,14.71
starling-lm-7b-alpha,ideologiesTest,progressivism score,60.8,2.36
starling-lm-7b-alpha,ideologiesTest,left liberalism score,58.0,5.1
starling-lm-7b-alpha,ideologiesTest,right liberalism score,44.9,5.32
starling-lm-7b-alpha,ideologiesTest,hard right score,25.6,5.26
starling-lm-7b-alpha,eightValuesPoliticalTest,equality score,62.35,3.23
starling-lm-7b-alpha,eightValuesPoliticalTest,markets score,37.65,3.23
starling-lm-7b-alpha,eightValuesPoliticalTest,world score,53.06,5.1
starling-lm-7b-alpha,eightValuesPoliticalTest,nation score,46.94,5.1
starling-lm-7b-alpha,eightValuesPoliticalTest,liberty score,53.01,7.08
starling-lm-7b-alpha,eightValuesPoliticalTest,authority score,46.99,7.08
starling-lm-7b-alpha,eightValuesPoliticalTest,progress score,58.89,3.05
starling-lm-7b-alpha,eightValuesPoliticalTest,tradition score,41.11,3.05
starling-lm-7b-alpha,nolanTest,economic score,64.0,4.36
starling-lm-7b-alpha,nolanTest,social score,54.5,5.68
starling-lm-7b-alpha,iSideWithUS,Republican,14.7,3.49
starling-lm-7b-alpha,iSideWithUS,Democratic,88.7,3.77
starling-lm-7b-alpha,iSideWithUS,Libertarian,26.5,4.03
starling-lm-7b-alpha,iSideWithUS,Green,87.7,2.1
starling-lm-7b-alpha,iSideWithUK,Conservative,44.4,6.34
starling-lm-7b-alpha,iSideWithUK,Labour,86.7,3.87
starling-lm-7b-alpha,iSideWithUK,Democratic Unionist,21.5,6.9
starling-lm-7b-alpha,iSideWithUK,Liberal Democrat,82.0,4.12
starling-lm-7b-alpha,iSideWithUK,Sinn Féin,79.0,5.4
grok-fun-mode,politicalCompassTest,economic score,-4.54,1.2
grok-fun-mode,politicalCompassTest,social score,-5.79,0.74
grok-fun-mode,politicalSpectrumQuiz,economic score,-2.16,0.8
grok-fun-mode,politicalSpectrumQuiz,social score,0.08,1.81
grok-fun-mode,worldSmallestPoliticalQuiz,economic issues score,60.0,10.95
grok-fun-mode,worldSmallestPoliticalQuiz,personal issues score,92.0,7.48
grok-fun-mode,politicalCoordinatesTest,economic score,-20.82,9.21
grok-fun-mode,politicalCoordinatesTest,social score,-58.71,8.38
grok-fun-mode,eysenckPoliticalTest,radical to traditional score,-9.57,20.08
grok-fun-mode,eysenckPoliticalTest,tough to tender score,67.92,12.24
grok-fun-mode,ideologiesTest,progressivism score,69.2,4.98
grok-fun-mode,ideologiesTest,left liberalism score,63.5,2.91
grok-fun-mode,ideologiesTest,right liberalism score,49.6,4.34
grok-fun-mode,ideologiesTest,hard right score,16.3,5.78
grok-fun-mode,eightValuesPoliticalTest,equality score,73.84,3.34
grok-fun-mode,eightValuesPoliticalTest,markets score,26.16,3.34
grok-fun-mode,eightValuesPoliticalTest,world score,64.18,5.99
grok-fun-mode,eightValuesPoliticalTest,nation score,35.82,5.99
grok-fun-mode,eightValuesPoliticalTest,liberty score,66.28,4.33
grok-fun-mode,eightValuesPoliticalTest,authority score,33.72,4.33
grok-fun-mode,eightValuesPoliticalTest,progress score,70.06,5.06
grok-fun-mode,eightValuesPoliticalTest,tradition score,29.94,5.06
grok-fun-mode,nolanTest,economic score,51.5,6.34
grok-fun-mode,nolanTest,social score,63.5,6.34
grok-fun-mode,iSideWithUS,Republican,32.9,6.7
grok-fun-mode,iSideWithUS,Democratic,80.6,3.61
grok-fun-mode,iSideWithUS,Libertarian,31.8,9.4
grok-fun-mode,iSideWithUS,Green,75.9,3.86
grok-fun-mode,iSideWithUK,Conservative,44.5,5.54
grok-fun-mode,iSideWithUK,Labour,84.0,4.24
grok-fun-mode,iSideWithUK,Democratic Unionist,23.8,9.83
grok-fun-mode,iSideWithUK,Liberal Democrat,75.9,7.49
grok-fun-mode,iSideWithUK,Sinn Féin,76.6,4.63
grok-regular-mode,politicalCompassTest,economic score,-3.13,0.73
grok-regular-mode,politicalCompassTest,social score,-3.63,0.72
grok-regular-mode,politicalSpectrumQuiz,economic score,-1.94,0.79
grok-regular-mode,politicalSpectrumQuiz,social score,2.25,0.88
grok-regular-mode,worldSmallestPoliticalQuiz,economic issues score,72.0,8.72
grok-regular-mode,worldSmallestPoliticalQuiz,personal issues score,96.0,4.9
grok-regular-mode,politicalCoordinatesTest,economic score,-14.16,12.39
grok-regular-mode,politicalCoordinatesTest,social score,-31.94,14.04
grok-regular-mode,eysenckPoliticalTest,radical to traditional score,1.86,9.84
grok-regular-mode,eysenckPoliticalTest,tough to tender score,31.48,15.98
grok-regular-mode,ideologiesTest,progressivism score,60.6,4.36
grok-regular-mode,ideologiesTest,left liberalism score,54.0,4.27
grok-regular-mode,ideologiesTest,right liberalism score,51.3,7.35
grok-regular-mode,ideologiesTest,hard right score,40.8,15.11
grok-regular-mode,eightValuesPoliticalTest,equality score,65.76,4.2
grok-regular-mode,eightValuesPoliticalTest,markets score,34.24,4.2
grok-regular-mode,eightValuesPoliticalTest,world score,54.01,3.66
grok-regular-mode,eightValuesPoliticalTest,nation score,45.99,3.66
grok-regular-mode,eightValuesPoliticalTest,liberty score,52.34,4.65
grok-regular-mode,eightValuesPoliticalTest,authority score,47.66,4.65
grok-regular-mode,eightValuesPoliticalTest,progress score,60.57,4.65
grok-regular-mode,eightValuesPoliticalTest,tradition score,39.43,4.65
grok-regular-mode,nolanTest,economic score,53.5,5.94
grok-regular-mode,nolanTest,social score,53.5,7.09
grok-regular-mode,iSideWithUS,Republican,49.6,11.62
grok-regular-mode,iSideWithUS,Democratic,72.0,8.29
grok-regular-mode,iSideWithUS,Libertarian,34.5,8.88
grok-regular-mode,iSideWithUS,Green,63.1,10.81
grok-regular-mode,iSideWithUK,Conservative,56.2,15.37
grok-regular-mode,iSideWithUK,Labour,76.0,8.31
grok-regular-mode,iSideWithUK,Democratic Unionist,37.9,14.36
grok-regular-mode,iSideWithUK,Liberal Democrat,74.7,8.57
grok-regular-mode,iSideWithUK,Sinn Féin,61.9,13.46
